x,y
547.5275545,12.99172509
510.9308501,115.9891853
455.8873813,170.7651073
421.9620967,278.7719894
397.4653523,355.2710121
369.6293332,460.398647
336.9131716,522.7355189
316.7247463,604.4078231
288.0768251,811.3156755
260.1491397,871.5457812
